MARKET,efw_layer,TOP_CATEGORY,poi_count,avg_lat,avg_lon,sum_area_sq_m
Boston,Venue,"Promoters of Performing Arts, Sports, and Similar Events",14,42.35196364285714,-71.083052,107278.4
Boston,Venue,Amusement Parks and Arcades,11,44.28964209090908,-58.1477480909091,69338.1
Boston,Food,Bakeries and Tortilla Manufacturing,9,44.70211388888889,-55.28275555555555,24873.3
Boston,Food,Beverage Manufacturing,8,42.341944125000005,-71.05653825,21826.7
Boston,Food,Food Services and Drinking Places,8,42.350689875,-71.07361787500001,13872.4
Boston,Other_EFW,Support Activities for Road Transportation,7,43.85863971428571,-60.90515157142857,4838.0
Boston,Water,Remediation and Other Waste Management Services,6,44.67952916666666,-52.108115166666664,6332.4
Boston,Other_EFW,Interurban and Rural Bus Transportation,5,42.351313000000005,-71.079234,41936.0
Boston,Venue,"Independent Artists, Writers, and Performers",5,41.5843452,-72.4518406,3553.5
Boston,Other_EFW,Support Activities for Air Transportation,5,42.364311799999996,-71.02685579999999,203250.09999999998
Boston,Venue,Spectator Sports,4,42.3454385,-71.07976675,86596.0
Boston,Water,RV (Recreational Vehicle) Parks and Recreational Camps,4,50.331555,-17.75765575,4408.6
Boston,Water,Waste Collection,3,42.348572999999995,-71.07137866666666,6882.1
Boston,Other_EFW,Support Activities for Rail Transportation,2,42.315574999999995,-71.0697375,7415.8
Boston,Water,Waste Management and Remediation Services,2,42.3598355,-71.033743,43034.7
Boston,Energy,"Electric Power Generation, Transmission and Distribution",2,42.350842,-71.064705,870.5
Boston,Venue,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",2,42.3576475,-71.066499,208.7
Boston,Food,Drugs and Druggists' Sundries Merchant Wholesalers,2,42.3503815,-71.0792865,323.29999999999995
Boston,Water,Waste Treatment and Disposal,2,42.333493000000004,-71.0699765,0.0
Boston,Energy,Natural Gas Distribution,1,42.375377,-71.053007,20.9
Boston,Venue,Gambling Industries,1,52.977409,-0.023783,725.0
Boston,Food,"Apparel, Piece Goods, and Notions Merchant Wholesalers",1,42.3526,-71.045402,1299.0
Boston,Food,Grocery and Related Product Merchant Wholesalers,1,42.351369,-71.037836,687.6
Boston,Other_EFW,Other Personal Services,1,42.344883,-71.046685,25914.9
Boston,Other_EFW,Freight Transportation Arrangement,1,42.343554,-71.023811,19888.0
Boston,Other_EFW,Nonscheduled Air Transportation,1,42.268219,-71.094529,299.2
Dallas,Food,Restaurants and Other Eating Places,1657,32.836578866022975,-95.66367924321067,6442529.100000011
Dallas,Other_EFW,Urban Transit Systems,1656,32.809695145531364,-96.82776746618349,8939.5
Dallas,Venue,Other Amusement and Recreation Industries,357,33.17607214565826,-95.83178716246498,6455451.000000003
Dallas,Food,Grocery Stores,255,32.462402647058816,-94.44540195294117,550419.2000000002
Dallas,Food,Drinking Places (Alcoholic Beverages),194,32.89491117010308,-96.87143333505155,696996.1000000001
Dallas,Venue,"Museums, Historical Sites, and Similar Institutions",186,32.87387165053761,-95.51381298387095,21468760.500000007
Dallas,Energy,Gasoline Stations,173,33.171467445086705,-95.76229275722544,308940.8000000001
Dallas,Water,Traveler Accommodation,126,33.193413206349206,-96.55485925396825,442437.6999999999
Dallas,Food,Specialty Food Stores,104,33.30767793269232,-96.02329228846158,414146.10000000003
Dallas,Food,Special Food Services,60,32.84072523333334,-96.61903889999999,144756.80000000002
Dallas,Food,"Beer, Wine, and Liquor Stores",57,33.28922577192982,-95.48158845614036,59975.700000000004
Dallas,Other_EFW,Support Activities for Road Transportation,43,32.84790397674419,-96.5329319767442,49411.00000000001
Dallas,Venue,"Promoters of Performing Arts, Sports, and Similar Events",39,33.12877756410257,-97.47818007692307,296962.19999999995
Dallas,Venue,Performing Arts Companies,39,32.88029764102565,-96.39190428205129,330599.6
Dallas,Other_EFW,Taxi and Limousine Service,29,32.9259274137931,-95.56271534482758,72253.09999999999
Dallas,Other_EFW,Scheduled Air Transportation,27,32.889685925925924,-97.0002925185185,1329641.7999999998
Dallas,Other_EFW,Transit and Ground Passenger Transportation,27,32.91757444444444,-95.93833229629628,41989.7
Dallas,Food,Beverage Manufacturing,23,36.61989852173913,-99.34310395652173,97173.69999999998
Dallas,Water,Remediation and Other Waste Management Services,23,33.093900391304345,-94.9206170869565,70502.60000000002
Dallas,Other_EFW,Support Activities for Air Transportation,21,32.968930523809526,-95.79871533333333,704963.9000000001
Dallas,Food,Bakeries and Tortilla Manufacturing,16,32.84250000000001,-96.8114715,45985.99999999999
Dallas,Venue,Spectator Sports,16,32.947889249999996,-95.30358800000002,96251.4
Dallas,Venue,Amusement Parks and Arcades,15,32.96471726666667,-95.19383813333334,193485.19999999998
Dallas,Venue,"Independent Artists, Writers, and Performers",15,32.826547399999995,-96.7773488,27062.6
Dallas,Other_EFW,Other Transit and Ground Passenger Transportation,13,32.826287461538456,-96.8021466153846,27461.4
Dallas,Water,Waste Treatment and Disposal,12,33.86516508333333,-98.02164825,5533.900000000001
Dallas,Energy,"Electric Power Generation, Transmission and Distribution",12,33.123616999999996,-94.48528775,40562.09999999999
Dallas,Water,Waste Collection,12,32.84797008333333,-96.82927299999999,24721.8
Dallas,Food,Grocery and Related Product Merchant Wholesalers,11,32.81655563636363,-96.826048,132696.0
Dallas,Other_EFW,Freight Transportation Arrangement,10,32.8435689,-96.7917242,70024.1
Dallas,Water,Waste Management and Remediation Services,10,33.01009280000001,-94.4256887,12120.1
Dallas,Food,Drugs and Druggists' Sundries Merchant Wholesalers,6,32.85144666666667,-96.78259600000001,26748.600000000002
Dallas,Food,Other Food Manufacturing,5,32.7488018,-96.82181200000001,23652.0
Dallas,Energy,"Water, Sewage and Other Systems",4,32.844076,-96.7389695,7874.6
Dallas,Venue,Gambling Industries,4,32.819295499999996,-96.80218550000001,125247.1
Dallas,Food,Food Services and Drinking Places,4,32.77709025,-96.84976449999999,11327.5
Dallas,Food,Petroleum and Petroleum Products Merchant Wholesalers,3,36.014936,-85.82012099999999,2766.3
Dallas,Food,Miscellaneous Nondurable Goods Merchant Wholesalers,3,32.81356866666667,-96.78555966666666,19165.4
Dallas,Other_EFW,Interurban and Rural Bus Transportation,3,32.77038866666667,-96.83651833333333,4826.7
Dallas,Water,RV (Recreational Vehicle) Parks and Recreational Camps,3,33.60519733333333,-91.59470033333332,758.9
Dallas,Venue,"Amusement, Gambling, and Recreation Industries",2,34.105727,-89.055255,4902.2
Dallas,Food,Chemical and Allied Products Merchant Wholesalers,2,32.8349035,-96.887183,3491.9
Dallas,Venue,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",2,32.793704,-96.7256975,5195.0
Dallas,Energy,Utilities,2,32.864483,-96.8178145,8115.299999999999
Dallas,Food,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",1,32.753189,-96.893516,1359.6
Dallas,Food,Sugar and Confectionery Product Manufacturing,1,32.795757,-96.685281,738.9
Dallas,Other_EFW,Charter Bus Industry,1,32.911125,-96.877226,2081.0
Dallas,Other_EFW,Software Publishers,1,32.713141,-96.813765,256.0
Dallas,Other_EFW,Support Activities for Water Transportation,1,32.949285,-96.804429,2559.7
Dallas,Food,"Apparel, Piece Goods, and Notions Merchant Wholesalers",1,32.930235,-96.832668,17172.0
Dallas,Food,Paper and Paper Product Merchant Wholesalers,1,32.890536,-96.886009,16845.4
Dallas,Other_EFW,"Sporting Goods, Hobby, and Musical Instrument Stores",1,32.659935,-96.877832,26884.8
Dallas,Other_EFW,Offices of Real Estate Agents and Brokers,1,32.862415,-96.810665,3377.0
Dallas,Food,Animal Food Manufacturing,1,32.914863,-96.892026,25058.0
Houston,Food,Restaurants and Other Eating Places,3563,29.85639305865841,-95.4592872152678,13756376.099999981
Houston,Other_EFW,Urban Transit Systems,1855,29.764582631805915,-95.41025739083581,7805.7
Houston,Venue,Other Amusement and Recreation Industries,669,29.925574437967107,-95.48553905082206,5058010.2
Houston,Food,Grocery Stores,563,29.921196291296624,-95.39986383303732,1379374.5000000005
Houston,Energy,Gasoline Stations,520,29.902539571153856,-95.42112241538462,1054424.2000000002
Houston,Food,Drinking Places (Alcoholic Beverages),437,29.775635302059484,-95.41199757208233,1297928.9999999995
Houston,Water,Traveler Accommodation,298,29.934435768456403,-95.35999603691272,883223.4999999998
Houston,Venue,"Museums, Historical Sites, and Similar Institutions",276,29.876418579710133,-95.25779252536232,34728523.59999998
Houston,Food,Specialty Food Stores,241,30.000909676348545,-95.53209992116186,1161446.9
Houston,Food,Special Food Services,122,29.76860599180328,-95.43550518852464,253871.30000000005
Houston,Food,"Beer, Wine, and Liquor Stores",117,30.060133247863252,-95.9079815470085,296570.69999999984
Houston,Other_EFW,Support Activities for Road Transportation,91,29.79435081318681,-95.44083915384614,240481.30000000005
Houston,Venue,Performing Arts Companies,74,29.77441340540541,-95.41823906756757,224170.2999999999
Houston,Other_EFW,Transit and Ground Passenger Transportation,69,29.77890034782609,-95.43824153623193,271751.6
Houston,Venue,"Promoters of Performing Arts, Sports, and Similar Events",52,30.415329653846168,-95.63484150000001,326555.5
Houston,Food,Bakeries and Tortilla Manufacturing,46,29.793706891304357,-95.45322145652173,156757.19999999995
Houston,Other_EFW,Other Transit and Ground Passenger Transportation,45,29.77679831111112,-95.44967835555555,141561.3
Houston,Water,Remediation and Other Waste Management Services,43,30.359102860465125,-96.14791283720932,88468.2
Houston,Other_EFW,Taxi and Limousine Service,37,29.77820318918919,-95.46132505405404,165252.5
Houston,Other_EFW,Freight Transportation Arrangement,34,29.852332294117648,-95.40749688235294,165160.70000000004
Houston,Venue,Amusement Parks and Arcades,32,29.781489343749993,-95.46904871875002,88151.8
Houston,Venue,"Independent Artists, Writers, and Performers",30,29.759426266666665,-95.42713006666668,92858.79999999999
Houston,Water,Waste Treatment and Disposal,29,29.938951137931035,-95.21442375862067,43430.49999999999
Houston,Water,Waste Collection,29,29.7989845862069,-95.40778158620691,44225.299999999996
Houston,Other_EFW,Scheduled Air Transportation,27,29.96085248148149,-95.3539222962963,841883.5
Houston,Other_EFW,Support Activities for Air Transportation,24,29.892897958333332,-95.38508891666667,35924411.4
Houston,Food,Drugs and Druggists' Sundries Merchant Wholesalers,23,31.17402604347826,-97.83064421739128,52355.8
Houston,Venue,Gambling Industries,22,29.797926590909096,-95.44928731818182,68287.7
Houston,Energy,"Electric Power Generation, Transmission and Distribution",21,30.46888285714286,-94.4227738095238,95453.29999999999
Houston,Water,Waste Management and Remediation Services,21,30.27674985714286,-94.71357485714286,37997.60000000001
Houston,Food,Chemical and Allied Products Merchant Wholesalers,20,29.7546784,-95.4330525,46773.0
Houston,Food,Beverage Manufacturing,19,29.79983978947369,-95.44384552631578,173249.59999999998
Houston,Venue,Spectator Sports,19,29.780372421052633,-95.41218589473682,137605.7
Houston,Energy,"Water, Sewage and Other Systems",18,30.240619499999998,-95.23153477777778,26895.0
Houston,Energy,Utilities,18,29.76913866666667,-95.41834416666669,48712.100000000006
Houston,Water,RV (Recreational Vehicle) Parks and Recreational Camps,14,31.00103114285714,-93.71394214285715,39664.9
Houston,Food,Grocery and Related Product Merchant Wholesalers,14,29.76855435714285,-95.40833549999999,119527.40000000001
Houston,Food,Petroleum and Petroleum Products Merchant Wholesalers,8,29.7940525,-95.37014150000002,54111.200000000004
Houston,Food,Food Services and Drinking Places,8,29.808456125,-95.4391655,31082.399999999998
Houston,Food,Miscellaneous Nondurable Goods Merchant Wholesalers,7,29.807571142857142,-95.489096,30652.0
Houston,Venue,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",6,29.768682666666667,-95.468593,7195.099999999999
Houston,Venue,"Amusement, Gambling, and Recreation Industries",6,29.822472333333337,-95.44530033333332,39608.5
Houston,Food,"Apparel, Piece Goods, and Notions Merchant Wholesalers",6,29.754877666666662,-95.41015083333333,104863.1
Houston,Other_EFW,Interurban and Rural Bus Transportation,5,29.7605244,-95.363784,9236.2
Houston,Food,Other Food Manufacturing,5,31.2456472,-94.8281782,5857.5
Houston,Energy,Natural Gas Distribution,5,29.798353600000002,-95.5023712,14808.0
Houston,Other_EFW,Support Activities for Water Transportation,4,29.738719000000003,-95.24559024999999,1705957.5
Houston,Other_EFW,Charter Bus Industry,4,29.851239999999997,-95.38826825000001,11979.3
Houston,Food,Grain and Oilseed Milling,2,29.7392775,-95.4090455,2427.7
Houston,Water,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",2,29.750321999999997,-95.3398705,11430.3
Houston,Other_EFW,Other Personal Services,2,29.75137,-95.35766849999999,102651.2
Houston,Food,Animal Slaughtering and Processing,2,29.801102,-95.4152485,12985.5
Houston,Food,Paper and Paper Product Merchant Wholesalers,2,29.8148555,-95.3348585,23273.9
Houston,Other_EFW,Religious Organizations,1,29.822744,-95.320199,2056.0
Houston,Other_EFW,Personal Care Services,1,29.789737,-95.185794,190.3
Houston,Other_EFW,Automobile Dealers,1,29.72376,-95.48355,305.8
Houston,Other_EFW,School and Employee Bus Transportation,1,29.788051,-95.544284,2591.0
Houston,Food,Sugar and Confectionery Product Manufacturing,1,29.77503,-95.643169,1004.0
Houston,Other_EFW,Air Transportation,1,29.991349,-95.483244,3061.0
Houston,Other_EFW,Offices of Other Health Practitioners,1,29.759846,-95.394717,45381.0
Houston,Other_EFW,Lessors of Real Estate,1,29.7022,-95.518062,16611.3
Houston,Other_EFW,Offices of Real Estate Agents and Brokers,1,29.705394,-95.505096,504.0
Houston,Other_EFW,Management of Companies and Enterprises,1,29.704093,-95.555725,6023.6
Houston,Food,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",1,29.842747,-95.519634,6379.0
Houston,Other_EFW,Nonscheduled Air Transportation,1,29.633416,-95.499174,268.0
Houston,Other_EFW,Offices of Physicians,1,29.743853,-95.456401,6575.0
Houston,Other_EFW,Motion Picture and Video Industries,1,29.751841,-95.357699,95331.5
Houston,Other_EFW,Couriers and Express Delivery Services,1,29.701384,-95.518469,16611.3
