host_city_canonical,year_month,avg_temp_c,sum_cdd_c,sum_hdd_c,avg_rh_pct,sum_precip_hundredths_mm,day_station_rows
Atlanta,2020-01,9.473732718894013,13.238499999999998,1937.4028,68.00751382488478,115843.30000000002,217
Atlanta,2020-02,9.941182266009852,11.2807,1723.1333000000013,74.35387241379313,188396.50000000006,203
Atlanta,2020-03,16.332718894009226,218.8372999999999,657.1869000000004,70.99925345622123,116249.29999999999,217
Atlanta,2020-04,16.243523809523815,114.14460000000001,548.7955,59.34370523809523,120198.99999999999,210
Atlanta,2020-05,20.109815668202774,635.1947999999999,248.52099999999993,65.59621797235026,44228.80000000001,217
Atlanta,2020-06,24.728952380952368,1349.136699999999,1.4661,72.15885380952382,58373.700000000004,210
Atlanta,2020-07,27.64608294930877,2028.7285999999997,0.0,71.35856497695853,43143.399999999994,217
Atlanta,2020-08,27.06096774193548,1892.3242999999995,0.0,76.33570921658988,108582.00000000001,217
Atlanta,2020-09,23.127999999999997,1062.3650999999995,53.0793,75.10146666666668,104804.00000000001,210
Atlanta,2020-10,19.515668202764978,448.26920000000007,197.13389999999995,75.00534423963133,70745.5,217
Atlanta,2020-11,14.906857142857147,138.87150000000003,860.2307000000002,68.11759761904764,59403.80000000001,210
Atlanta,2020-12,7.671935483870969,0.0,2319.2651000000014,68.09038341013823,56312.4,217
Atlanta,2021-01,8.018479262672816,3.1505,2241.3622000000005,68.49523271889399,76140.09999999999,217
Atlanta,2021-02,9.236224489795923,7.2754,1787.7147000000004,69.48197653061231,68577.90000000001,196
Atlanta,2021-03,15.108986175115204,107.76140000000001,815.6672000000001,59.82639354838708,86391.0,217
Atlanta,2021-04,16.657952380952377,164.5927000000001,518.6972,54.87299,41364.200000000004,210
Atlanta,2021-05,20.36271889400922,577.2064000000004,132.49070000000003,62.32589354838707,71488.3,217
Atlanta,2021-06,24.879523809523814,1382.6925000000003,0.0,72.18593285714286,67428.30000000002,210
Atlanta,2021-07,26.31866359447003,1734.4324,0.0,76.74062211981565,109191.60000000002,217
Atlanta,2021-08,26.615345622119822,1799.1770999999999,0.0,77.61823179723505,95656.90000000001,217
Atlanta,2021-09,22.944571428571432,988.8657000000001,17.659199999999995,75.198140952381,74211.40000000001,210
Atlanta,2021-10,19.09193548387098,482.4003,318.1371,77.11377972350235,82599.29999999999,217
Atlanta,2021-11,11.337380952380954,0.0,1467.9087,61.38111523809526,23757.1,210
Atlanta,2021-12,12.814700460829489,33.292399999999994,1231.2098000000005,76.7734930875576,115199.70000000001,217
Atlanta,2022-01,7.083640552995393,26.7591,2472.008,64.20108709677419,60434.99999999999,217
Atlanta,2022-02,10.738622448979589,23.590200000000003,1511.3009999999997,62.078837755102064,74796.50000000001,196
Atlanta,2022-03,14.141152073732718,47.37200000000001,970.3583000000003,57.18150967741936,96878.89999999998,217
Atlanta,2022-04,16.63238095238095,128.69720000000004,487.01980000000015,58.766270000000034,71813.40000000001,210
Atlanta,2022-05,22.639078341013814,956.3261999999999,23.347,66.67166774193547,52820.299999999996,217
Atlanta,2022-06,26.532761904761905,1716.8635000000002,0.0,64.38674190476189,35604.20000000001,210
Atlanta,2022-07,27.156866359447005,1920.1642000000013,0.0,76.95641843317975,92353.1,217
Atlanta,2022-08,25.993225806451616,1666.8975,0.0,78.894567281106,73998.7,217
Atlanta,2022-09,22.740761904761925,966.7534000000003,37.18809999999999,69.20590571428569,42410.90000000001,210
