date,stadium,market,in_usa,stage,stage_group,team1,team2,attendance,capacity_wc
2026-06-29,Estadio BBVA,,0,Round of 32,Round of 32,NED,MAR,51243,
2026-06-29,Gillette Stadium,Boston,1,Round of 32,Round of 32,GER,PAR,63945,64146
2026-06-29,NRG Stadium,Houston,1,Round of 32,Round of 32,BRA,JPN,68777,68777
2026-06-30,AT&T Stadium,Dallas,1,Round of 32,Round of 32,CIV,NOR,69665,70649
2026-06-30,Estadio Azteca,,0,Round of 32,Round of 32,MEX,ECU,80824,
2026-06-30,MetLife Stadium,New York/New Jersey,1,Round of 32,Round of 32,FRA,SWE,80663,80663
2026-07-01,Levi's Stadium,San Francisco Bay Area,1,Round of 32,Round of 32,USA,BIH,68827,68827
2026-07-01,Lumen Field,Seattle,1,Round of 32,Round of 32,BEL,SEN,66925,66925
2026-07-01,Mercedes-Benz Stadium,Atlanta,1,Round of 32,Round of 32,ENG,COD,68239,68239
2026-07-02,BC Place,,0,Round of 32,Round of 32,SUI,ALG,52497,
2026-07-02,BMO Field,,0,Round of 32,Round of 32,POR,CRO,43036,
2026-07-02,SoFi Stadium,Los Angeles,1,Round of 32,Round of 32,ESP,AUT,70492,70492
2026-07-03,AT&T Stadium,Dallas,1,Round of 32,Round of 32,AUS,EGY,70244,70649
2026-07-03,Arrowhead Stadium,Kansas City,1,Round of 32,Round of 32,COL,GHA,69045,69045
2026-07-03,Hard Rock Stadium,Miami,1,Round of 32,Round of 32,ARG,CPV,64478,64478
2026-07-04,Lincoln Financial Field,Philadelphia,1,Round of 16,Round of 16,PAR,FRA,68324,68324
2026-07-04,NRG Stadium,Houston,1,Round of 16,Round of 16,CAN,MAR,68777,68777
2026-07-05,Estadio Azteca,,0,Round of 16,Round of 16,MEX,ENG,80824,
2026-07-05,MetLife Stadium,New York/New Jersey,1,Round of 16,Round of 16,BRA,NOR,80663,80663
2026-07-06,AT&T Stadium,Dallas,1,Round of 16,Round of 16,POR,ESP,70649,70649
2026-07-06,Lumen Field,Seattle,1,Round of 16,Round of 16,USA,BEL,66925,66925
2026-07-07,BC Place,,0,Round of 16,Round of 16,SUI,COL,52497,
2026-07-07,Mercedes-Benz Stadium,Atlanta,1,Round of 16,Round of 16,ARG,EGY,68239,68239
2026-07-09,Gillette Stadium,Boston,1,Quarter-final,Quarter-final,FRA,MAR,63811,64146
2026-07-10,SoFi Stadium,Los Angeles,1,Quarter-final,Quarter-final,ESP,BEL,70492,70492
2026-07-11,Arrowhead Stadium,Kansas City,1,Quarter-final,Quarter-final,ARG,SUI,69045,69045
2026-07-11,Hard Rock Stadium,Miami,1,Quarter-final,Quarter-final,NOR,ENG,64478,64478
2026-07-14,AT&T Stadium,Dallas,1,Semi-final,Semi-final,FRA,ESP,70176,70649
2026-07-15,Mercedes-Benz Stadium,Atlanta,1,Semi-final,Semi-final,ENG,ARG,68239,68239
2026-07-18,Hard Rock Stadium,Miami,1,Third place,Third place,FRA,ENG,64478,64478
2026-07-19,MetLife Stadium,New York/New Jersey,1,Final,Final,ESP,ARG,80663,80663
